Date/Time,Word Count,de,en,fr,ja,pt-BR,ru,uk-UA,zh-Hans
2023.10.21-16.46.54,4540,0,4540,0,0,0,0,0,0
2023.10.21-16.52.26,1002,0,1002,0,0,0,0,0,0
2023.10.21-16.56.28,1000,0,1000,0,0,0,0,0,0
2023.10.21-20.49.13,1000,1000,1000,0,0,0,0,0,0
2023.10.21-22.40.46,1000,1000,1000,0,0,0,994,0,0
2023.10.21-22.41.24,1000,1000,1000,1000,0,0,994,0,0
2023.10.21-22.41.54,1000,1000,1000,1000,0,0,994,0,1000
2023.10.21-22.45.03,1000,1000,1000,1000,0,0,1000,0,1000
2023.10.22-08.00.31,996,971,996,971,0,0,971,0,971
2023.10.22-08.14.36,996,996,996,996,0,0,996,0,996
2023.10.22-08.46.10,996,996,996,996,994,0,996,0,996
2023.10.22-09.26.11,1002,996,1002,996,994,0,996,0,996
2023.10.22-09.35.43,1002,1002,1002,1002,1000,0,1002,0,1002
2023.10.22-09.40.30,1004,1002,1004,1002,1000,0,1002,0,1002
2023.10.22-09.43.32,1004,1004,1004,1004,1002,0,1004,0,1004
2023.10.24-20.22.48,1011,1004,1011,1004,1002,0,1004,0,1004
2023.10.24-20.35.24,1011,1011,1011,1011,1011,0,1011,0,1011
2023.10.25-00.28.42,1012,1010,1012,1010,1010,0,1010,0,1010
2023.10.25-23.02.23,1012,1010,1012,1010,1010,0,1010,0,1012
2023.10.26-07.30.41,1021,1010,1021,1010,1010,0,1010,0,1012
2023.10.26-07.46.04,1021,1019,1021,1019,1019,0,1019,0,1021
2023.10.26-07.49.44,1071,1019,1071,1019,1019,0,1019,0,1021
2023.10.26-07.55.25,1071,1069,1071,1069,1069,0,1069,0,1071
2023.10.26-20.21.43,1071,1069,1071,1071,1069,0,1069,0,1071
2023.10.28-21.11.36,1082,1071,1082,1069,1071,0,1071,0,1071
2023.10.28-21.16.12,1082,1082,1082,1080,1082,0,1082,0,1082
2023.11.15-13.32.54,1111,1074,1111,1072,1074,0,1074,0,1074
2023.11.15-13.39.08,1111,1111,1111,1111,1111,0,1111,0,1111
2023.12.18-13.57.53,1367,817,1367,817,817,0,817,0,817
2023.12.18-14.58.29,1367,1367,1367,1367,1367,0,1367,0,1367
2023.12.18-15.09.29,1376,1367,1376,1367,1367,0,1367,0,1367
2023.12.18-15.11.45,1376,1376,1376,1376,1376,0,1376,0,1376
2024.01.13-11.49.17,1409,1338,1409,1338,1338,0,1338,0,1338
2024.01.18-19.27.08,1437,1338,1437,1338,1338,0,1338,0,1338
2024.01.18-19.32.49,1437,1428,1437,1428,1428,0,1428,0,1338
2024.01.18-19.55.18,1437,1437,1437,1434,1434,900,1437,900,1338
2024.01.18-20.13.23,1437,1437,1437,1434,1434,1437,1437,1437,1338
2024.01.18-20.30.49,1441,1434,1441,1431,1431,1434,1434,1434,1335
2024.01.18-20.35.10,1441,1441,1441,1438,1438,1441,1441,1441,1335
2024.01.18-23.41.31,1441,1441,1441,1438,1438,1441,1441,1441,1437
2024.01.18-23.43.31,1441,1441,1441,1438,1438,1441,1441,1441,1441
2024.01.30-20.22.15,1508,1441,1508,1438,1438,1441,1441,1441,1441
2024.01.30-20.30.31,1508,1508,1508,1505,1505,1508,1508,1508,1441
2024.01.30-20.33.39,1508,1508,1508,1508,1508,1508,1508,1508,1441
2024.01.30-22.10.24,1562,1508,1562,1508,1508,1508,1508,1508,1441
2024.01.30-22.15.30,1562,1562,1562,1562,1562,1562,1562,1562,1441
2024.01.31-00.49.15,1562,1562,1562,1562,1562,1562,1562,1562,1561
2024.01.31-00.52.17,1562,1562,1562,1562,1562,1562,1562,1562,1562
2024.01.31-12.39.53,1565,1562,1565,1562,1562,1562,1562,1562,1562
2024.02.01-17.25.55,1628,1565,1628,1565,1565,1565,1565,1565,1565
2024.02.01-17.31.35,1628,1628,1628,1628,1628,1628,1628,1628,1628
2024.02.02-18.06.40,1652,1628,1652,1628,1628,1628,1628,1628,1628
2024.02.02-18.09.48,1652,1652,1652,1652,1652,1652,1652,1652,1652
2024.02.03-07.27.39,1657,1652,1657,1652,1652,1652,1652,1652,1652
2024.02.03-07.31.55,1657,1657,1657,1657,1657,1657,1657,1657,1657
2024.02.03-12.38.04,1657,1653,1657,1653,1653,1653,1653,1653,1653
2024.02.03-12.44.08,1657,1657,1657,1657,1657,1657,1657,1657,1657
2024.02.03-22.14.44,1658,1655,1658,1655,1655,1655,1655,1655,1655
2024.02.04-06.30.13,1664,1658,1664,1658,1658,1658,1658,1658,1658
2024.02.04-06.32.53,1664,1658,1664,1658,1658,1658,1658,1658,1664
2024.02.04-07.04.23,2238,1658,2238,1658,1658,1658,1658,1658,1658
2024.02.04-07.27.27,2238,2238,2238,2238,2070,2238,2238,2238,2238
2024.02.04-07.30.55,2238,2238,2238,2238,2238,2238,2238,2238,2238
2024.02.04-08.31.13,2614,2238,2614,2238,2238,2238,2238,2238,2238
2024.02.04-08.33.22,2614,2238,2614,2614,2238,2238,2238,2238,2238
2024.02.04-09.26.17,3206,2238,3206,2614,2238,2238,2238,2238,2238
2024.02.04-11.02.21,3730,2238,3730,2614,2707,2238,2238,2238,2238
2024.02.04-12.18.17,3730,3730,3730,3730,3730,3730,3730,3730,3730
2024.02.04-14.33.17,3204,3204,3204,3204,3204,3204,3204,3204,3204
2024.02.05-17.36.48,3205,3199,3205,3199,3199,3199,3199,3199,3199
2024.02.05-17.43.51,3204,3202,3204,3202,3202,3202,3201,3202,3199
2024.02.05-17.45.58,3204,3204,3204,3204,3204,3204,3204,3204,3199
2024.02.05-20.09.27,3204,3202,3204,3202,3202,3202,3202,3202,3202
2024.02.05-20.31.39,3203,3203,3203,3202,3203,3203,3203,3203,3203
2024.02.05-20.32.32,3203,3203,3203,3203,3203,3203,3203,3203,3203
2024.02.07-20.07.28,3209,3203,3209,3203,3203,3203,3203,3203,3203
2024.02.07-20.14.15,3209,3209,3209,3209,3209,3209,3209,3209,3209
2024.02.08-15.25.14,3218,3209,3218,3209,3209,3209,3209,3209,3209
2024.02.11-20.46.19,3218,3208,3218,3208,3208,3208,3208,3208,3208
2024.02.15-21.37.47,3305,3176,3305,3176,3176,3176,3176,3176,3186
2024.02.16-20.56.38,3316,3175,3316,3175,3175,3175,3175,3175,3304
2024.02.16-22.02.44,3316,3175,3316,3175,3175,3175,3175,3175,3305
2024.02.17-19.33.13,3321,3175,3321,3175,3175,3175,3175,3175,3305
2024.02.17-19.35.42,3321,3175,3321,3175,3175,3175,3175,3175,3321
2024.02.20-20.37.33,3306,3107,3306,3107,3107,3107,3107,3107,3247
2024.02.22-19.25.35,3315,3107,3315,3107,3107,3107,3107,3107,3306
2024.02.22-21.58.52,3315,3286,3315,3286,3286,3286,3286,3286,3315
2024.02.22-22.02.36,3315,3315,3315,3315,3315,3315,3315,3315,3315
2024.02.23-15.48.58,3569,3315,3569,3315,3315,3315,3315,3315,3315
2024.02.23-15.54.20,3569,3397,3569,3397,3397,3397,3397,3397,3397
2024.02.23-16.03.08,3569,3569,3569,3569,3569,3569,3569,3569,3569
2024.02.25-06.51.28,3572,3569,3572,3569,3569,3569,3569,3569,3569
2024.02.25-06.53.32,3572,3572,3572,3572,3572,3572,3572,3572,3572
2024.02.26-06.46.22,3576,3554,3576,3554,3554,3554,3554,3554,3554
2024.02.26-06.52.19,3576,3576,3576,3576,3576,3576,3576,3576,3576
2024.02.26-16.25.01,3576,3576,3576,3576,3576,3544,3576,3576,3576
2024.02.26-16.26.38,3576,3576,3576,3576,3576,3576,3576,3576,3576
2024.02.26-21.22.33,3575,3574,3575,3574,3574,3574,3574,3574,3574
2024.02.26-21.27.13,3575,3575,3575,3575,3575,3575,3575,3575,3575
2024.02.27-07.55.55,3578,3575,3578,3575,3575,3575,3575,3575,3575
2024.02.27-07.59.10,3578,3576,3578,3576,3576,3576,3576,3576,3576
2024.03.01-21.51.36,3581,3576,3581,3576,3576,3576,3576,3576,3576
2024.03.01-21.53.34,3592,3576,3592,3576,3576,3576,3576,3576,3576
2024.03.01-21.55.42,3592,3590,3592,3590,3590,3590,3590,3590,3590
2024.03.01-23.47.49,3596,3590,3596,3590,3590,3590,3590,3590,3590
2024.03.01-23.50.44,3596,3594,3596,3594,3594,3594,3594,3594,3594
2024.03.03-06.42.52,3596,3594,3596,3594,3594,3594,3594,3596,3594
2024.03.14-06.41.15,3649,3588,3649,3588,3588,3588,3588,3590,3619
2024.03.14-07.16.25,3733,3588,3733,3588,3588,3588,3588,3590,3619
2024.03.14-07.26.56,3733,3730,3733,3730,3730,3730,3730,3730,3619
2024.03.14-17.59.05,3755,3712,3755,3712,3712,3712,3712,3712,3601
2024.03.14-18.06.15,3755,3755,3755,3755,3755,3755,3755,3755,3601
2024.03.15-00.26.41,3755,3755,3755,3755,3755,3755,3755,3755,3755
